RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,xPM,
1051000.0,1207000.0,962800.0,4228000.0,1266000.0,837400.0,580400.0,3138000.0,1808000.0,2.3999999999999997E8,
1081000.0,1206000.0,965500.0,4228000.0,1263000.0,857000.0,558600.0,3142000.0,1833000.0,2.3999999999999997E8,
1081000.0,1205000.0,966300.0,4228000.0,1267000.0,857000.0,553800.0,3142000.0,1833000.0,2.3999999999999997E8,
1081000.0,1203000.0,968200.0,4228000.0,1267000.0,849400.0,578300.0,3118000.0,1833000.0,2.3999999999999997E8,
1081000.0,1200000.0,971300.0,4228000.0,1273000.0,836400.0,581600.0,3108000.0,1833000.0,2.3999999999999997E8,
1080000.0,1199000.0,971900.0,4225000.0,1277000.0,833300.0,581600.0,3180000.0,1868000.0,2.3999999999999997E8,
1076000.0,1202000.0,973000.0,4225000.0,1282000.0,842300.0,579600.0,3216000.0,1820000.0,2.3999999999999997E8,
1075000.0,1202000.0,974100.0,4225000.0,1282000.0,854300.0,577500.0,3217000.0,1795000.0,2.3999999999999997E8,
1074000.0,1203000.0,974700.0,4225000.0,1282000.0,854300.0,577500.0,3234000.0,1945000.0,2.3999999999999997E8,
1074000.0,1202000.0,975100.0,4225000.0,1275000.0,852600.0,606800.0,3219000.0,2028000.0,2.3999999999999997E8,
1073000.0,1200000.0,977500.0,4225000.0,1285000.0,852300.0,607600.0,3208000.0,2028000.0,2.3999999999999997E8,
1070000.0,1203000.0,977800.0,4225000.0,1285000.0,863100.0,605600.0,3225000.0,2002000.0,2.3999999999999997E8,
1107000.0,1201000.0,980600.0,4225000.0,1295000.0,887400.0,593100.0,3210000.0,2093000.0,2.3999999999999997E8,
1106000.0,1200000.0,967900.0,4225000.0,1300000.0,888300.0,593100.0,3204000.0,2093000.0,2.3999999999999997E8,
1099000.0,1198000.0,970100.0,4232000.0,1300000.0,894300.0,608400.0,3199000.0,2053000.0,2.3999999999999997E8,
1098000.0,1197000.0,971700.0,4232000.0,1300000.0,908100.0,618700.0,3187000.0,2041000.0,2.3999999999999997E8,
1096000.0,1198000.0,972600.0,4232000.0,1309000.0,898500.0,618700.0,3187000.0,2041000.0,2.3999999999999997E8,
1093000.0,1200000.0,973100.0,4232000.0,1315000.0,907900.0,603300.0,3193000.0,2023000.0,2.3999999999999997E8,
1091000.0,1199000.0,975600.0,4228000.0,1318000.0,904800.0,603200.0,3265000.0,1951000.0,2.3999999999999997E8,
1087000.0,1201000.0,977700.0,4228000.0,1323000.0,899900.0,666000.0,3202000.0,1951000.0,2.3999999999999997E8,
1082000.0,1205000.0,979000.0,4228000.0,1327000.0,896100.0,672000.0,3220000.0,1927000.0,2.3999999999999997E8,
1081000.0,1205000.0,980300.0,4228000.0,1327000.0,896100.0,676900.0,3226000.0,1957000.0,2.3999999999999997E8,
